,url,plist,movieidlist,plotrepr
0,https://www.imdb.com/list/ls000000970/,['it was all a dream'],"['tt0020530', 'tt0243017', 'tt0032138', 'tt0072443', 'tt1375666', 'tt0120663', 'tt0068361', 'tt0851578', 'tt0087800', 'tt0100998']",it was all a dream
1,https://www.imdb.com/list/ls000053753/,['underdogs win'],"['tt0108002', 'tt0075148', 'tt0111161', 'tt0352248', 'tt0210945', 'tt0106977', 'tt0091217', 'tt0349825', 'tt0087538', 'tt0104694', 'tt0106611', 'tt0441773', 'tt0445990', 'tt0116695', 'tt0180734', 'tt0364725', 'tt0329575', 'tt0083987', 'tt0265662', 'tt0097815']",underdogs win
2,https://www.imdb.com/list/ls000097337/,['it was all in their head'],"['tt1375666', 'tt0120663', 'tt0137523', 'tt0401383', 'tt0088846', 'tt0446029', 'tt1130884', 'tt0012349', 'tt0120601', 'tt0101410', 'tt0338013', 'tt0211915', 'tt0352520', 'tt0299658', 'tt0032138', 'tt0363988', 'tt0081633', 'tt0130827', 'tt0420223', 'tt1172570', 'tt0386117', 'tt0259711', 'tt0499570', 'tt2096673']",it was all in their head
3,https://www.imdb.com/list/ls000499722/,"['you root for the bad guy', 'you root for the villain']","['tt0086250', 'tt0139654', 'tt0119395', 'tt1197624', 'tt0110632']",you root for the bad guy
4,https://www.imdb.com/list/ls000521403/,['someone goes to jail'],"['tt0054407', 'tt0070511', 'tt0061512', 'tt0057115', 'tt0111161', 'tt0068341', 'tt0077928', 'tt0113870', 'tt0079116', 'tt0097770', 'tt1117385', 'tt0281322', 'tt0443676', 'tt1156466', 'tt1197624', 'tt0055798', 'tt0112818', 'tt0120689', 'tt0339135', 'tt0099385', 'tt1242422', 'tt0112536', 'tt0120586', 'tt0068273', 'tt1172570', 'tt0071266', 'tt0049902', 'tt0080474', 'tt0291341', 'tt0035057', 'tt0087751', 'tt0031690', 'tt0109053', 'tt0093304', 'tt0103044', 'tt0106950', 'tt0110678', 'tt1229764', 'tt0174856', 'tt0117500', 'tt0297162', 'tt0128278', 'tt0871867', 'tt0272020', 'tt0071771', 'tt0398165', 'tt0099812', 'tt0490086', 'tt0437072', 'tt0985047', 'tt0107207', 'tt0452608', 'tt1500491', 'tt0427848', 'tt0097004', 'tt0102062', 'tt0196708', 'tt0089134', 'tt0071650', 'tt0074670', 'tt0042296', 'tt0048811', 'tt1235166', 'tt0096540', 'tt0107370', 'tt0031260', 'tt0834904', 'tt0119950', 'tt0179183', 'tt0961728', 'tt0102293', 'tt0085210', 'tt0299854', 'tt0084548', 'tt0120620', 'tt0049265', 'tt0084869', 'tt0226872', 'tt0076706', 'tt0250258', 'tt0997152', 'tt0092978', 'tt0046359', 'tt0462504', 'tt0367136', 'tt0080344', 'tt0047417', 'tt0068483', 'tt0460909', 'tt0790640', 'tt0081144', 'tt0081561', 'tt0473348', 'tt0039224', 'tt0020686', 'tt0031119', 'tt1422020', 'tt0172184', 'tt0321704', 'tt0098513']",someone goes to jail
5,https://www.imdb.com/list/ls000679442/,"['nukes go off', 'nuclear bomb goes off']","['tt0090163', 'tt0099197', 'tt0085404', 'tt0072730', 'tt0053137', 'tt0063442', 'tt0057012', 'tt0058083', 'tt0059894', 'tt0458367', 'tt0086429', 'tt0097889', 'tt0103064', 'tt0090315', 'tt0112740', 'tt0914863', 'tt0180657', 'tt0164184', 'tt0093044', 'tt0235376']",nukes go off
6,https://www.imdb.com/list/ls000924797/,['characters switch bodies'],"['tt1488555', 'tt0094593', 'tt0078751', 'tt0086873', 'tt0972759', 'tt0113030', 'tt0310230', 'tt0409904', 'tt0116036', 'tt0387575', 'tt0132666', 'tt0097236', 'tt0304922', 'tt0119094', 'tt0322330', 'tt0076054', 'tt0113112', 'tt0295003', 'tt0906599', 'tt0482527', 'tt0898319', 'tt0093418', 'tt0166924', 'tt0117358', 'tt0105165', 'tt0267913', 'tt0413267', 'tt0328462', 'tt0102101', 'tt0397101', 'tt0302640', 'tt0096380', 'tt0118178', 'tt0242150', 'tt0393735']",characters switch bodies
7,https://www.imdb.com/list/ls002827497/,"['girl is kidnapped', 'a girl is kidnapped']","['tt0164334', 'tt0258000', 'tt0408790', 'tt1434435', 'tt0280380', 'tt0328107', 'tt0117438', 'tt0150377', 'tt0260866', 'tt0337921', 'tt1048146', 'tt1391034', 'tt0408345', 'tt1674784', 'tt1334553', 'tt0936501', 'tt0421239', 'tt0388482', 'tt1430082', 'tt0358706', 'tt0452623', 'tt0329162', 'tt1111422', 'tt0251160', 'tt0183649', 'tt0110997', 'tt0432348', 'tt0452702', 'tt0824747', 'tt0356618', 'tt0108473', 'tt1379177', 'tt0374563', 'tt0959329', 'tt0450278', 'tt0489664', 'tt1017464', 'tt0787505', 'tt1135500', 'tt0404390', 'tt0306685', 'tt1316536', 'tt1176252', 'tt1258197', 'tt1465478', 'tt1039949', 'tt1087461', 'tt0111257', 'tt0453467', 'tt0808279', 'tt1448762', 'tt0486822', 'tt0100157', 'tt0107302', 'tt0097162', 'tt0857295', 'tt1064744', 'tt0399201', 'tt0844708', 'tt0443473', 'tt1748227', 'tt0340163', 'tt1838544', 'tt1600195', 'tt0880648', 'tt0419946', 'tt1911644', 'tt2302755', 'tt0840361', 'tt1551630', 'tt1603257', 'tt1390535', 'tt1289437', 'tt0431197', 'tt0317919', 'tt0369339', 'tt0450259', 'tt0119468', 'tt0373469', 'tt1931533', 'tt1790869', 'tt1175735', 'tt1535109', 'tt1392214', 'tt2024469', 'tt0365907', 'tt2111392', 'tt2005374', 'tt0091069', 'tt0380787', 'tt0968311', 'tt0199389', 'tt0338188', 'tt0395585', 'tt1734433', 'tt0482606', 'tt0999913', 'tt1816597', 'tt0947802', 'tt0104389']",girl is kidnapped
8,https://www.imdb.com/list/ls003698245/,['it was all a dream'],"['tt0032138', 'tt0389860', 'tt0110687', 'tt0083483', 'tt0083455', 'tt0077000', 'tt0094540', 'tt0244365', 'tt0166924', 'tt0182576', 'tt0182576', 'tt0182576', 'tt0397306', 'tt0149460', 'tt0204659', 'tt0259711', 'tt0092400', 'tt0144084', 'tt1375666']",it was all a dream
9,https://www.imdb.com/list/ls003743181/,"['best friends fall in love', 'childhood friends fall in love', 'friends fall in love', 'friends become lovers']","['tt0098635', 'tt0391304', 'tt0832266', 'tt0128853', 'tt1007028', 'tt1001508', 'tt0094006', 'tt0083641', 'tt1632708', 'tt0335559', 'tt0116191', 'tt0112697', 'tt1564367', 'tt0433400', 'tt0337563', 'tt0817230', 'tt0110950', 'tt0145487', 'tt1411238', 'tt0395495', 'tt0164114', 'tt0089981', 'tt0821640', 'tt0116606', 'tt0866439', 'tt1142988', 'tt0405325', 'tt0297037', 'tt1937269', 'tt1720616', 'tt1592873', 'tt0120376', 'tt0204175', 'tt2475914', 'tt0199725', 'tt1563738', 'tt0491152', 'tt0460812', 'tt0477095', 'tt0090103', 'tt0770703', 'tt0409011', 'tt1486834', 'tt0415283', 'tt2378884', 'tt0289889', 'tt1638002', 'tt1296898', 'tt0202402', 'tt0817177', 'tt3165612', 'tt2106529', 'tt3028418', 'tt1835977', 'tt3878146', 'tt3239442', 'tt5783956', 'tt1604113', 'tt3264438', 'tt5569560', 'tt2769454', 'tt0896811', 'tt8262802', 'tt4146410', 'tt4160132', 'tt9059048', 'tt6104760', 'tt3007302', 'tt7645122', 'tt4364862', 'tt5020558', 'tt5789944', 'tt11324534', 'tt4051832', 'tt3135018', 'tt9130542', 'tt8995604', 'tt4817002', 'tt6157148', 'tt7208348', 'tt6824234', 'tt13318052', 'tt8333254', 'tt5182866', 'tt7020608', 'tt11769304', 'tt2782216', 'tt7208216']",friends fall in love
10,https://www.imdb.com/list/ls004523052/,"['dolls come to life', 'dolls come alive']","['tt0094862', 'tt0099253', 'tt0103956', 'tt0144120', 'tt0387575', 'tt2230358', 'tt3280262', 'tt0455760', 'tt8023434', 'tt0104119', 'tt3322940', 'tt0092906', 'tt5140878', 'tt0203343', 'tt0098143', 'tt0100438', 'tt0102728', 'tt0107899', 'tt0110916', 'tt0132451', 'tt0189047', 'tt0390393', 'tt0431340', 'tt0482495', 'tt0104083', 'tt0106743', 'tt0073820', 'tt0117966', 'tt2248719', 'tt0027521', 'tt0058007', 'tt0117342', 'tt0303361', 'tt0416853', 'tt3322940', 'tt0114609', 'tt5140878', 'tt3581478', 'tt1139783', 'tt0077889', 'tt0089378', 'tt3882082', 'tt0226362', 'tt2055719', 'tt0478305', 'tt3772364', 'tt0080040', 'tt0328077', 'tt0037635', 'tt0068230', 'tt7983912', 'tt8350360', 'tt7253316', 'tt7344866', 'tt5895010', 'tt0087160', 'tt2375318', 'tt0327597', 'tt4141368', 'tt5001436', 'tt6450628', 'tt0095871', 'tt10498810', 'tt9173418', 'tt9357288', 'tt8663516', 'tt5457454']",dolls come alive
11,https://www.imdb.com/list/ls004557075/,"['dogs die', 'the dog dies', 'a dog dies']","['tt0822832', 'tt0031742', 'tt0044121', 'tt0045883', 'tt0047396', 'tt0056592', 'tt0058700', 'tt0061512', 'tt0066831', 'tt0073195', 'tt0077681', 'tt0077651', 'tt0079501', 'tt0082694', 'tt0083944', 'tt0084787', 'tt0085995', 'tt0087800', 'tt0088170', 'tt0089767', 'tt0099348', 'tt0103644', 'tt0119567', 'tt0144084', 'tt0286106', 'tt0316356', 'tt0397313', 'tt0958860', 'tt0417148', 'tt0348150', 'tt0389722', 'tt0765429', 'tt0480249', 'tt0477348', 'tt0822854', 'tt1020530', 'tt1748122', 'tt1288558', 'tt2334649', 'tt2302755', 'tt1392214', 'tt1411250', 'tt1457767', 'tt2234003', 'tt2911666', 'tt2321549', 'tt3464902', 'tt4263482', 'tt4698684', 'tt3608930', 'tt4695012']",dogs die
12,https://www.imdb.com/list/ls004895649/,"['kid gets bullied', 'kids get bullied']","['tt0074285', 'tt0087538', 'tt1155076', 'tt0088763', 'tt0090213', 'tt0377092', 'tt1930315', 'tt0433422', 'tt1139797', 'tt1228987', 'tt0377091', 'tt0081207', 'tt0378793', 'tt0889600', 'tt0451038', 'tt0114168', 'tt0119313', 'tt0116493', 'tt0151738', 'tt0462346', 'tt0817538', 'tt0242193', 'tt0276751', 'tt0929632', 'tt0167404', 'tt0112508', 'tt1403981', 'tt0399546', 'tt0099864', 'tt0330373', 'tt0223897', 'tt0108037', 'tt0115676', 'tt0305224', 'tt0398808', 'tt1059905', 'tt0086066', 'tt0085334', 'tt1100053', 'tt0171804', 'tt1098327', 'tt0144814', 'tt0115963', 'tt0882742', 'tt0091790', 'tt0288439', 'tt0252501', 'tt0094138', 'tt0241760', 'tt0097493', 'tt0088000', 'tt0106677', 'tt0114906', 'tt1196141', 'tt0145487', 'tt0112368', 'tt0231441', 'tt0356470', 'tt0247638', 'tt0974661', 'tt1675306', 'tt0386284', 'tt0266372', 'tt0210075', 'tt1959347', 'tt0107292', 'tt0419967', 'tt0100156', 'tt0105572', 'tt0953318', 'tt0077769', 'tt1390535', 'tt0080725', 'tt0451108', 'tt0163651', 'tt0238660', 'tt0783515', 'tt1340418', 'tt0304782', 'tt4135218', 'tt1691453', 'tt1414382', 'tt0285148', 'tt2402091', 'tt1196956', 'tt3509114', 'tt1666801', 'tt2084970', 'tt0092112', 'tt0093058', 'tt1282140', 'tt0090305', 'tt0137523', 'tt1606180']",kid gets bullied
13,https://www.imdb.com/list/ls008120520/,['black and white fall in love'],"['tt0106489', 'tt0102175', 'tt0460798', 'tt0437777', 'tt0103855', 'tt0372237', 'tt0109484', 'tt1320250', 'tt0112518', 'tt0368343', 'tt0149723', 'tt0947802', 'tt0107478', 'tt0128996', 'tt0328099', 'tt1710396', 'tt0285742', 'tt0073349', 'tt0364556', 'tt1087524', 'tt0102592', 'tt0457433', 'tt0170454', 'tt0117473', 'tt0470679', 'tt0105885', 'tt1385912', 'tt0203053', 'tt0114558', 'tt0105812', 'tt0102456', 'tt0101898', 'tt0105475', 'tt0206275', 'tt1640484', 'tt0065963', 'tt0061735', 'tt0059573', 'tt1305583', 'tt0425210', 'tt0114057', 'tt0055614', 'tt0285742', 'tt0311648', 'tt0184791', 'tt0402399', 'tt0947802', 'tt0149723', 'tt0386588', 'tt2381941', 'tt1375699', 'tt0117098', 'tt0061735', 'tt2235108', 'tt0119141', 'tt0250224', 'tt0314331', 'tt1155056', 'tt2404181']",black and white fall in love
14,https://www.imdb.com/list/ls008776918/,['kids date'],"['tt0804497', 'tt0107875', 'tt0817177', 'tt1645080', 'tt0102492', 'tt0110613', 'tt1196141', 'tt1650043', 'tt2023453', 'tt0091445', 'tt0110366', 'tt0048280', 'tt0249677', 'tt0477051', 'tt0373889', 'tt0417741', 'tt0165598', 'tt1659337', 'tt0089218', 'tt0110357', 'tt0120131', 'tt0034492', 'tt0447854', 'tt0082406', 'tt0046183', 'tt0316396', 'tt0280030', 'tt0283426', 'tt1049413', 'tt1442437', 'tt0419315', 'tt0094737', 'tt1288601', 'tt0038650', 'tt0810922', 'tt1706593', 'tt0081207', 'tt1598822', 'tt1201607', 'tt0102388', 'tt2188671', 'tt0113538', 'tt0104868', 'tt0184907', 'tt0108550', 'tt0032455', 'tt0938283', 'tt1748122', 'tt0062693', 'tt0314166', 'tt0372784', 'tt0099487', 'tt0829482', 'tt1366344', 'tt1091722', 'tt0340281', 'tt0374900', 'tt1189346', 'tt0090305', 'tt1077368', 'tt0096694', 'tt1024255', 'tt1606180', 'tt1758692', 'tt0038574', 'tt0972534', 'tt1636826', 'tt0091042', 'tt0974661', 'tt0284722', 'tt0963743', 'tt0356470', 'tt2222135', 'tt1415889', 'tt2325989', 'tt1765510', 'tt0182576', 'tt0799922', 'tt1646876', 'tt1027862', 'tt2355844', 'tt0268397', 'tt0312109', 'tt0117015', 'tt0110305', 'tt0804503', 'tt1648099', 'tt0112883', 'tt1022885', 'tt0098929', 'tt2400736', 'tt2712740', 'tt2655470', 'tt0273366', 'tt0267237', 'tt2666270', 'tt2467372', 'tt1284575', 'tt0496424', 'tt1442464']",kids date
15,https://www.imdb.com/list/ls009029134/,['famous guy falls in love'],"['tt0335559', 'tt1579247', 'tt0067588', 'tt0125439', 'tt1055366', 'tt0410696', 'tt0409011', 'tt0095270', 'tt0427327', 'tt0808424', 'tt0314331', 'tt0132666', 'tt0758766', 'tt1071358', 'tt0103855', 'tt0306841', 'tt0378407', 'tt1296898']",famous guy falls in love
16,https://www.imdb.com/list/ls020188523/,"['hero dies', 'main character dies', 'the main character dies', 'protagonist dies', 'the hero dies', 'a main character dies', 'characters die']","['tt0120338', 'tt0112573', 'tt0167404', 'tt0347304', 'tt0416449', 'tt0172495', 'tt0120815', 'tt0368226', 'tt4950110', 'tt0475276', 'tt0119167', 'tt3115906', 'tt7784604', 'tt3532216', 'tt0106519', 'tt1368116', 'tt1242422', 'tt0114231', 'tt0086250', 'tt0116391', 'tt0362590', 'tt1537898', 'tt1849718', 'tt0959434', 'tt0238936', 'tt0395802', 'tt0113277', 'tt1640459', 'tt5286444', 'tt0095936', 'tt0106333', 'tt0109134', 'tt1833673', 'tt0482606', 'tt0434409', 'tt0450259', 'tt0407887', 'tt1020530', 'tt1185412', 'tt1028528', 'tt0114746', 'tt0449487', 'tt0814314', 'tt1403981', 'tt0783233', 'tt0103074', 'tt0246578', 'tt0099871', 'tt0096163', 'tt0374345', 'tt0439662', 'tt0166924', 'tt1462758', 'tt1924429', 'tt0067384', 'tt1990181', 'tt0069995', 'tt0120399', 'tt0458367', 'tt1691916', 'tt0120591', 'tt0448011', 'tt1191111', 'tt1867093', 'tt0110912', 'tt1626942', 'tt1603909', 'tt0405508', 'tt2203308', 'tt0164538', 'tt0113627', 'tt2918436', 'tt0069281', 'tt0120689', 'tt1273235', 'tt1352369', 'tt0161634', 'tt0161635', 'tt0830558', 'tt0093608', 'tt0159391', 'tt0103905', 'tt4281724', 'tt1213862', 'tt0312843', 'tt0141459', 'tt0101420', 'tt4497686', 'tt1037705', 'tt0289992', 'tt0169547', 'tt3612032', 'tt0914798', 'tt0137363', 'tt7095654', 'tt0405159', 'tt1205489', 'tt0054215', 'tt0149261', 'tt0119488']",hero dies
17,https://www.imdb.com/list/ls020449828/,['bad boy falls for good girl'],"['tt0281358', 'tt1972779', 'tt0160862', 'tt1714206', 'tt3531824', 'tt2318092', 'tt0445922', 'tt1403981', 'tt1570728', 'tt1142988', 'tt0139134', 'tt0088847', 'tt0462590', 'tt0092890', 'tt1294226', 'tt3797868', 'tt0147800', 'tt0386588', 'tt1068242', 'tt0482527', 'tt10362466']",bad boy falls for good girl
18,https://www.imdb.com/list/ls021435319/,['it snows'],"['tt1601913', 'tt0397313', 'tt1399683', 'tt0363771', 'tt1876277', 'tt1486185', 'tt3460252', 'tt5362988', 'tt0844457', 'tt0424205', 'tt1332134', 'tt0446013', 'tt1667310', 'tt0993842', 'tt1706620', 'tt2719848', 'tt2758880', 'tt1663202', 'tt1160996', 'tt0860866', 'tt1758810', 'tt0314331', 'tt0276751', 'tt0482546', 'tt0338348', 'tt0339291', 'tt0319343', 'tt2005374', 'tt0772176', 'tt3131456', 'tt2650978', 'tt0401855', 'tt2226597', 'tt5503688', 'tt5420886', 'tt0366548', 'tt1067106', 'tt0365929', 'tt1728196', 'tt0795441', 'tt0319262', 'tt2294629', 'tt0373283', 'tt0277327', 'tt6359956', 'tt0307987', 'tt0457939', 'tt1837709', 'tt0800241', 'tt1323045', 'tt4738360', 'tt3300980', 'tt0898367', 'tt1023114', 'tt0765010', 'tt1606384', 'tt1194238', 'tt1588875', 'tt0268380', 'tt3469910', 'tt0337721', 'tt0159365', 'tt1526578', 'tt0442286', 'tt2471640', 'tt3950078', 'tt5066556', 'tt2909116', 'tt5317914', 'tt0851577', 'tt1706414', 'tt4084744', 'tt2381991', 'tt1735898', 'tt1428538', 'tt0443649', 'tt2390283', 'tt6449336', 'tt1430615', 'tt1402488', 'tt3146360', 'tt4253360', 'tt2182115', 'tt1703148', 'tt0239441', 'tt0272839', 'tt0190865', 'tt0228786', 'tt1568346', 'tt1231587', 'tt0338526', 'tt0400525', 'tt0892767', 'tt0978759', 'tt0415023', 'tt2179055', 'tt1252610', 'tt0780536', 'tt0766213', 'tt4526546']",it snows
19,https://www.imdb.com/list/ls022508803/,['famous guy falls in love'],"['tt0335266', 'tt0314331', 'tt0081534', 'tt0125439', 'tt0095270', 'tt0427327', 'tt0067588', 'tt3125324', 'tt0056891', 'tt0266452', 'tt0247638', 'tt0103855', 'tt1579247', 'tt1296898', 'tt0335559', 'tt1055366', 'tt0410696', 'tt0087384', 'tt1071358', 'tt0758766', 'tt0409011', 'tt0360139', 'tt0337697', 'tt2517044', 'tt6699114', 'tt4814436', 'tt5615976', 'tt0306841', 'tt0175245', 'tt2509850', 'tt5240372', 'tt2281309', 'tt3469386', 'tt4892714', 'tt8043092']",famous guy falls in love
20,https://www.imdb.com/list/ls022702128/,"['people are trapped', 'strangers are trapped together']","['tt2275783', 'tt3528758', 'tt0309698', 'tt0123755', 'tt8975028', 'tt1187064', 'tt8781414', 'tt0112040', 'tt0052520', 'tt1182345', 'tt1631707', 'tt6193336', 'tt2131532', 'tt8788458', 'tt7332652', 'tt0450340', 'tt1016301', 'tt1258197', 'tt5886046', 'tt0491145', 'tt0959329', 'tt6888938', 'tt3839880', 'tt0395585', 'tt1586753', 'tt0089869', 'tt1999995', 'tt5159414', 'tt0242527', 'tt0297284', 'tt1333050', 'tt1790864', 'tt1119191', 'tt8228288', 'tt1082807', 'tt0380113', 'tt0387564', 'tt0374563', 'tt1314655', 'tt5748392', 'tt9537532', 'tt2531362', 'tt1452628', 'tt9348718', 'tt3118452', 'tt0411008', 'tt9067020', 'tt8670784', 'tt1535616', 'tt1220706', 'tt1711018', 'tt0499484']",people are trapped
21,https://www.imdb.com/list/ls025417042/,['no one dies'],"['tt0074486', 'tt0286106', 'tt0022913', 'tt0230600', 'tt0138704', 'tt0099582', 'tt0164181', 'tt0185937', 'tt0084516', 'tt0384806', 'tt0450385', 'tt0090655', 'tt0327162', 'tt1457767', 'tt0081738', 'tt0082334', 'tt2321549']",no one dies
22,https://www.imdb.com/list/ls028812636/,"['villains are the main characters', 'the main character is the villain']","['tt0086879', 'tt0066921', 'tt1323594', 'tt0469494', 'tt0051036', 'tt0106856', 'tt0099763', 'tt0993846', 'tt0040746', 'tt0036775', 'tt0416320', 'tt0396171', 'tt0144084', 'tt0044391', 'tt0119361', 'tt0056687', 'tt2872718', 'tt0044008', 'tt0082766', 'tt2267998', 'tt0094721', 'tt0103905', 'tt0139654']",villains are the main characters
23,https://www.imdb.com/list/ls031076691/,['it rains a lot'],"['tt0120696', 'tt0309698', 'tt0264395', 'tt0120685', 'tt0107290', 'tt0316356', 'tt0114369']",it rains a lot
24,https://www.imdb.com/list/ls032062378/,"['bad guys win', 'hero loses', 'the bad guy wins', 'bad guy wins', 'bad guy win']","['tt0073486', 'tt0468569', 'tt0137523', 'tt0080684', 'tt0102926', 'tt0477348', 'tt0096163', 'tt0209144', 'tt0070917', 'tt0088846', 'tt0117381', 'tt0309698', 'tt0387564', 'tt0137363', 'tt0409459', 'tt0119099', 'tt0121766', 'tt0183649', 'tt0212985', 'tt0325805', 'tt0087803', 'tt0985699', 'tt1847746', 'tt1258120', 'tt0115988', 'tt2267998', 'tt1954470', 'tt2872718', 'tt0103772', 'tt0082089', 'tt0119167']",hero loses
25,https://www.imdb.com/list/ls044879599/,['everyone dies'],"['tt3748528', 'tt3460252', 'tt1245492', 'tt1601913', 'tt0057012', 'tt0065462', 'tt0448134', 'tt1527186', 'tt1921064', 'tt0020629', 'tt1187064', 'tt0177971', 'tt0448011', 'tt0116477', 'tt0097889', 'tt0092879', 'tt0061452', 'tt0119642', 'tt0120866', 'tt0335245', 'tt0048281', 'tt0266308', 'tt0069945']",everyone dies
26,https://www.imdb.com/list/ls046117163/,['underdogs win'],"['tt0071771', 'tt0075148', 'tt0074174', 'tt0076723', 'tt0077864', 'tt0078902', 'tt0083675', 'tt0087538', 'tt0091217', 'tt0089695', 'tt0097815', 'tt0097659', 'tt0104868', 'tt0108002', 'tt0106611', 'tt0110364', 'tt0116778', 'tt0210945', 'tt0191397', 'tt0180734', 'tt0291341', 'tt0265662', 'tt0326429', 'tt0349825', 'tt0364725', 'tt0352248', 'tt0453729', 'tt0385726', 'tt0445990', 'tt0871510', 'tt0441773', 'tt0878804', 'tt1057500', 'tt1291584', 'tt1210166', 'tt3001638', 'tt3076658', 'tt1083452', 'tt2097298', 'tt4832640']",underdogs win
27,https://www.imdb.com/list/ls047125670/,['kids get bullied'],"['tt5834036', 'tt0384793', 'tt2368749', 'tt3792884', 'tt6000818', 'tt1340418', 'tt0386284', 'tt0429589', 'tt1083844', 'tt1212451', 'tt6205872', 'tt2585548', 'tt4225622', 'tt0478976', 'tt0288439', 'tt0138317', 'tt0251091', 'tt0953318', 'tt0115676', 'tt2077721', 'tt1836099', 'tt0821462', 'tt0240380', 'tt0303732', 'tt0398808', 'tt0242193', 'tt0074285', 'tt0319970', 'tt1939659', 'tt1106860', 'tt0303847', 'tt0085334', 'tt1706593', 'tt2122313', 'tt0988108', 'tt2245188', 'tt0097115', 'tt1930315', 'tt4135218', 'tt2650978', 'tt3560580', 'tt0808315', 'tt1196141', 'tt2334896', 'tt1433811', 'tt2468826', 'tt0817538', 'tt0356561', 'tt0033563', 'tt1282140', 'tt0363589', 'tt0027569', 'tt0082346', 'tt5612742', 'tt1753811', 'tt0396592', 'tt1390535', 'tt1539991', 'tt0099582', 'tt0472268', 'tt4178092', 'tt1956502', 'tt2523832', 'tt0172493', 'tt5016946', 'tt0082500', 'tt2385101', 'tt1041753', 'tt0116493', 'tt0279037', 'tt0097493', 'tt2339732', 'tt3526286', 'tt2106476', 'tt4950110', 'tt3313864', 'tt1396484', 'tt0099864', 'tt0087538', 'tt0091326', 'tt0097647', 'tt1155076', 'tt0064541', 'tt3863484', 'tt2086830', 'tt5643272', 'tt0095484', 'tt0044821', 'tt1228987', 'tt1139797', 'tt1800373', 'tt0057261', 'tt0085867', 'tt3393762', 'tt0978762', 'tt0074875', 'tt0273799', 'tt0377091', 'tt0377092', 'tt1679235']",kids get bullied
28,https://www.imdb.com/list/ls048541135/,['nothing bad happens'],"['tt0817177', 'tt0119822', 'tt0101414', 'tt0490084', 'tt0832266', 'tt0147800', 'tt1564367', 'tt2771200', 'tt0804497', 'tt0446029', 'tt1631867', 'tt0414387', 'tt0178737', 'tt3896198', 'tt0795421', 'tt2210769', 'tt0458352', 'tt3799694', 'tt0054698', 'tt0343660', 'tt0119217', 'tt0910970', 'tt0457939', 'tt1055292', 'tt1216492', 'tt0892318', 'tt0467406', 'tt1045658', 'tt1142988']",nothing bad happens
29,https://www.imdb.com/list/ls049550229/,"['kids die', 'child dies', 'children die']","['tt0808279', 'tt0072684', 'tt1191111', 'tt8359848', 'tt0383028', 'tt4263482', 'tt0074486', 'tt0031381', 'tt0870984', 'tt1527186', 'tt0884328', 'tt0425112', 'tt0117951', 'tt0457430', 'tt0887912', 'tt0101985', 'tt5715874', 'tt1242460', 'tt0363589', 'tt0120586', 'tt0289879', 'tt5109784', 'tt0103793', 'tt1392170', 'tt1951266', 'tt1801552', 'tt0048545', 'tt4003440', 'tt0108394', 'tt7784604', 'tt2543164']",kids die
