,mwindex,plot,pos,word_count,stopw_count,unique_count,plotlemma,unique_words
0,0,animals were harmed,"[('animal', 'NNS'), ('be', 'VBD'), ('harm', 'VBN')]",3,1,2,animal be harm,animal harm
1,1,animals die,"[('animal', 'NNS'), ('die', 'VBP')]",2,0,2,animal die,animal die
2,4,a child dies,"[('a', 'DT'), ('child', 'NN'), ('die', 'VBZ')]",3,1,2,a child die,child die
3,5,ai takes over,"[('be', 'PRP'), ('take', 'VBZ'), ('over', 'RB')]",3,1,2,be take over,take
5,8,bad boy falls in love,"[('bad', 'JJ'), ('boy', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",5,1,4,bad boy fall in love,bad boy fall love
6,9,best friends fall in love,"[('good', 'JJS'), ('friend', 'NNS'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN')]",5,1,4,good friend fall in love,good friend fall love
7,10,bullies get what they deserve,"[('bully', 'NNS'), ('get', 'VBP'), ('what', 'WP'), ('they', 'PRP'), ('deserve', 'VBP')]",5,2,3,bully get what they deserve,bully get deserve
8,11,bad guys win,"[('bad', 'JJ'), ('guy', 'NNS'), ('win', 'VBP')]",3,0,3,bad guy win,bad guy win
9,12,bad guy saves girl,"[('bad', 'JJ'), ('guy', 'NN'), ('save', 'VBZ'), ('girl', 'NN')]",4,0,4,bad guy save girl,bad guy save girl
10,13,boy saves girl,"[('boy', 'NN'), ('save', 'VBZ'), ('girl', 'NN')]",3,0,3,boy save girl,boy save girl
11,14,black guy dies first,"[('black', 'JJ'), ('guy', 'NN'), ('die', 'VBZ'), ('first', 'RB')]",4,0,4,black guy die first,black guy die first
12,15,boy saves girl from abuse,"[('boy', 'NN'), ('save', 'VBZ'), ('girl', 'NN'), ('from', 'IN'), ('abuse', 'NN')]",5,1,4,boy save girl from abuse,boy save girl abuse
13,16,characters turn into animals,"[('character', 'NNS'), ('turn', 'VBP'), ('into', 'IN'), ('animal', 'NNS')]",4,1,3,character turn into animal,character turn animal
14,19,childhood friends fall in love,"[('childhood', 'NN'), ('friend', 'NNS'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN')]",5,1,4,childhood friend fall in love,childhood friend fall love
15,20,characters come back to life,"[('character', 'NNS'), ('come', 'VBP'), ('back', 'RB'), ('to', 'IN'), ('life', 'NN')]",5,1,4,character come back to life,character come back life
16,21,characters break the fourth wall,"[('character', 'NNS'), ('break', 'VBP'), ('the', 'DT'), ('fourth', 'JJ'), ('wall', 'NN')]",5,1,4,character break the fourth wall,character break fourth wall
17,22,characters sacrifice themselves,"[('character', 'NNS'), ('sacrifice', 'VBP'), ('themselves', 'PRP')]",3,1,2,character sacrifice themselves,character sacrifice
18,23,characters switch bodies,"[('character', 'NNS'), ('switch', 'VBP'), ('body', 'NNS')]",3,0,3,character switch body,character switch body
19,24,dogs die,"[('dog', 'NNS'), ('die', 'VBP')]",2,0,2,dog die,dog die
20,25,daughter gets kidnapped,"[('daughter', 'NN'), ('get', 'VBZ'), ('kidnap', 'VBN')]",3,0,3,daughter get kidnap,daughter get kidnap
21,27,dogs talk,"[('dog', 'NNS'), ('talk', 'VBP')]",2,0,2,dog talk,dog talk
22,28,days repeat,"[('day', 'NNS'), ('repeat', 'VBP')]",2,0,2,day repeat,day repeat
23,29,drawings come to life,"[('drawing', 'NNS'), ('come', 'VBP'), ('to', 'IN'), ('life', 'NN')]",4,1,3,drawing come to life,drawing come life
24,30,dolls come to life,"[('doll', 'NNS'), ('come', 'VBP'), ('to', 'IN'), ('life', 'NN')]",4,1,3,doll come to life,doll come life
25,31,dreams come true,"[('dream', 'NNS'), ('come', 'VBP'), ('true', 'JJ')]",3,0,3,dream come true,dream come true
26,32,everyone dies,"[('everyone', 'NN'), ('die', 'VBZ')]",2,0,2,everyone die,everyone die
27,33,evil wins,"[('evil', 'JJ'), ('win', 'NNS')]",2,0,2,evil win,evil win
28,34,enemies fall in love,"[('enemy', 'NNS'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN')]",4,1,3,enemy fall in love,enemy fall love
29,35,everyone disappears,"[('everyone', 'NN'), ('disappear', 'VBZ')]",2,0,2,everyone disappear,everyone disappear
30,36,everything goes wrong,"[('everything', 'NN'), ('go', 'VBZ'), ('wrong', 'JJ')]",3,0,3,everything go wrong,everything go wrong
31,37,earth is destroyed,"[('earth', 'NN'), ('be', 'VBZ'), ('destroy', 'VBN')]",3,1,2,earth be destroy,earth destroy
32,38,enemies become friends,"[('enemy', 'NNS'), ('become', 'VBP'), ('friend', 'NNS')]",3,0,3,enemy become friend,enemy become friend
33,39,exes get back together,"[('exe', 'NNS'), ('get', 'VBP'), ('back', 'RB'), ('together', 'RB')]",4,0,4,exe get back together,exe get back together
34,40,friends fall in love,"[('friend', 'NNS'), ('fall', 'VBP'), ('in', 'IN'), ('love', 'NN')]",4,1,3,friend fall in love,friend fall love
35,41,famous guy falls in love,"[('famous', 'JJ'), ('guy', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",5,1,4,famous guy fall in love,famous guy fall love
36,42,friends become enemies,"[('friend', 'NNS'), ('become', 'VBP'), ('enemy', 'NNS')]",3,0,3,friend become enemy,friend become enemy
37,43,fictional characters come to life,"[('fictional', 'JJ'), ('character', 'NNS'), ('come', 'VBP'), ('to', 'IN'), ('life', 'NN')]",5,1,4,fictional character come to life,fictional character come life
38,44,fingers get cut off,"[('finger', 'NNS'), ('get', 'VBP'), ('cut', 'VBN'), ('off', 'RP')]",4,1,3,finger get cut off,finger get cut
39,45,family goes on vacation,"[('family', 'NN'), ('go', 'VBZ'), ('on', 'IN'), ('vacation', 'NN')]",4,1,3,family go on vacation,family go vacation
40,46,father dies,"[('father', 'NN'), ('die', 'VBZ')]",2,0,2,father die,father die
41,47,friends become lovers,"[('friend', 'NNS'), ('become', 'VBP'), ('lover', 'NNS')]",3,0,3,friend become lover,friend become lover
42,48,girl falls in love with bad guy,"[('girl', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN'), ('with', 'IN'), ('bad', 'JJ'), ('guy', 'NN')]",7,2,5,girl fall in love with bad guy,girl fall love bad guy
43,49,guy saves girl,"[('guy', 'NN'), ('save', 'VBZ'), ('girl', 'NN')]",3,0,3,guy save girl,guy save girl
44,50,girl disguised as boy,"[('girl', 'NN'), ('disguise', 'VBN'), ('as', 'IN'), ('boy', 'NN')]",4,1,3,girl disguise as boy,girl disguise boy
45,51,godzilla is the bad guy,"[('godzilla', 'NNP'), ('be', 'VBZ'), ('the', 'DT'), ('bad', 'JJ'), ('guy', 'NN')]",5,2,3,godzilla be the bad guy,godzilla bad guy
46,52,good triumphs over evil,"[('good', 'JJ'), ('triumph', 'NNS'), ('over', 'IN'), ('evil', 'NN')]",4,1,3,good triumph over evil,good triumph evil
47,53,girl falls in love with villain,"[('girl', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN'), ('with', 'IN'), ('villain', 'NN')]",6,2,4,girl fall in love with villain,girl fall love villain
48,54,girl falls in love with kidnapper,"[('girl', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN'), ('with', 'IN'), ('kidnapper', 'NN')]",6,2,4,girl fall in love with kidnapper,girl fall love kidnapper
49,55,girl is kidnapped,"[('girl', 'NN'), ('be', 'VBZ'), ('kidnap', 'VBN')]",3,1,2,girl be kidnap,girl kidnap
50,56,humans turn into animals,"[('human', 'NNS'), ('turn', 'VBP'), ('into', 'IN'), ('animal', 'NNS')]",4,1,3,human turn into animal,human turn animal
51,57,hero dies,"[('hero', 'NN'), ('die', 'VBZ')]",2,0,2,hero die,hero die
52,58,husband kills wife,"[('husband', 'NN'), ('kill', 'VBZ'), ('wife', 'NN')]",3,0,3,husband kill wife,husband kill wife
53,59,hate turns to love,"[('hate', 'VB'), ('turn', 'NNS'), ('to', 'TO'), ('love', 'VB')]",4,1,3,hate turn to love,hate turn love
54,60,husband dies,"[('husband', 'NN'), ('die', 'VBZ')]",2,0,2,husband die,husband die
55,61,heroine saves hero,"[('heroine', 'NN'), ('save', 'VBZ'), ('hero', 'NN')]",3,0,3,heroine save hero,heroine save hero
56,62,humans are the invaders,"[('human', 'NNS'), ('be', 'VBP'), ('the', 'DT'), ('invader', 'NNS')]",4,2,2,human be the invader,human invader
57,63,hero loses,"[('hero', 'NN'), ('lose', 'VBZ')]",2,0,2,hero lose,hero lose
58,64,it was all a dream,"[('it', 'PRP'), ('be', 'VBD'), ('all', 'PDT'), ('a', 'DT'), ('dream', 'NN')]",5,4,1,it be all a dream,dream
59,65,it rains,"[('it', 'PRP'), ('rain', 'VBZ')]",2,1,1,it rain,rain
60,66,it snows,"[('it', 'PRP'), ('snow', 'VBZ')]",2,1,1,it snow,snow
61,67,it rains a lot,"[('it', 'PRP'), ('rain', 'VBZ'), ('a', 'DT'), ('lot', 'NN')]",4,2,2,it rain a lot,rain lot
62,68,it was all in their head,"[('it', 'PRP'), ('be', 'VBD'), ('all', 'RB'), ('in', 'IN'), ('they', 'PRP$'), ('head', 'NN')]",6,5,1,it be all in they head,head
63,69,inanimate objects come to life,"[('inanimate', 'JJ'), ('object', 'NNS'), ('come', 'VBP'), ('to', 'IN'), ('life', 'NN')]",5,1,4,inanimate object come to life,inanimate object come life
64,70,iron man appears,"[('iron', 'JJ'), ('man', 'NN'), ('appear', 'VBZ')]",3,0,3,iron man appear,iron man appear
65,71,it rains the whole time,"[('it', 'PRP'), ('rain', 'VBZ'), ('the', 'DT'), ('whole', 'JJ'), ('time', 'NN')]",5,2,3,it rain the whole time,rain whole time
67,73,jock falls for nerd,"[('jock', 'NN'), ('fall', 'VBZ'), ('for', 'IN'), ('nerd', 'NN')]",4,1,3,jock fall for nerd,jock fall nerd
68,74,justice is served,"[('justice', 'NN'), ('be', 'VBZ'), ('serve', 'VBN')]",3,1,2,justice be serve,justice serve
71,77,joker appears,"[('joker', 'NN'), ('appear', 'VBZ')]",2,0,2,joker appear,joker appear
72,80,kids have powers,"[('kid', 'NNS'), ('have', 'VBP'), ('power', 'NNS')]",3,1,2,kid have power,kid power
73,81,kids die,"[('kid', 'NNS'), ('die', 'VBP')]",2,0,2,kid die,kid die
74,82,kidnapper falls in love with victim,"[('kidnapper', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN'), ('with', 'IN'), ('victim', 'NN')]",6,2,4,kidnapper fall in love with victim,kidnapper fall love victim
75,83,kid gets kidnapped,"[('kid', 'NN'), ('get', 'VBZ'), ('kidnap', 'VBN')]",3,0,3,kid get kidnap,kid get kidnap
77,85,kid gets bullied,"[('kid', 'NN'), ('get', 'VBZ'), ('bully', 'VBN')]",3,0,3,kid get bully,kid get bully
78,86,killer falls in love,"[('killer', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",4,1,3,killer fall in love,killer fall love
80,88,love conquers all,"[('love', 'NN'), ('conquer', 'VBZ'), ('all', 'DT')]",3,1,2,love conquer all,love conquer
82,90,lovers can't be together,"[('lover', 'NNS'), ('can', 'MD'), ('not', 'RB'), ('be', 'VB'), ('together', 'RB')]",4,1,3,lover can not be together,lover together
83,91,lighting is important,"[('lighting', 'NN'), ('be', 'VBZ'), ('important', 'JJ')]",3,1,2,lighting be important,lighting important
84,92,lovers reunite,"[('lover', 'NNS'), ('reunite', 'VBP')]",2,0,2,lover reunite,lover reunite
85,93,love interest dies,"[('love', 'NN'), ('interest', 'NN'), ('die', 'VBZ')]",3,0,3,love interest die,love interest die
86,94,lover dies,"[('lover', 'NN'), ('die', 'VBZ')]",2,0,2,lover die,lover die
88,96,main character dies,"[('main', 'JJ'), ('character', 'NN'), ('die', 'VBZ')]",3,0,3,main character die,main character die
89,97,mother dies in childbirth,"[('mother', 'NN'), ('die', 'VBZ'), ('in', 'IN'), ('childbirth', 'NN')]",4,1,3,mother die in childbirth,mother die childbirth
90,98,mafia falls in love,"[('mafia', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",4,1,3,mafia fall in love,mafia fall love
93,101,main character is secretly strong,"[('main', 'JJ'), ('character', 'NN'), ('be', 'VBZ'), ('secretly', 'RB'), ('strong', 'JJ')]",5,1,4,main character be secretly strong,main character secretly strong
95,103,mom dies,"[('mom', 'NN'), ('die', 'VBZ')]",2,0,2,mom die,mom die
96,104,nothing happens,"[('nothing', 'NN'), ('happen', 'VBZ')]",2,0,2,nothing happen,nothing happen
97,105,nothing bad happens,"[('nothing', 'NN'), ('bad', 'JJ'), ('happen', 'VBZ')]",3,0,3,nothing bad happen,nothing bad happen
98,106,no one dies,"[('no', 'DT'), ('one', 'NN'), ('die', 'VBZ')]",3,1,2,no one die,one die
99,107,no one believes the main character,"[('no', 'DT'), ('one', 'NN'), ('believe', 'VBZ'), ('the', 'DT'), ('main', 'JJ'), ('character', 'NN')]",6,2,4,no one believe the main character,one believe main character
101,109,nukes go off,"[('nuke', 'NNS'), ('go', 'VBP'), ('off', 'RB')]",3,1,2,nuke go off,nuke go
102,110,nazis won,"[('nazi', 'NNS'), ('win', 'VBD')]",2,1,1,nazi win,nazi win
103,111,nuclear bomb goes off,"[('nuclear', 'JJ'), ('bomb', 'NN'), ('go', 'VBZ'), ('off', 'RB')]",4,1,3,nuclear bomb go off,nuclear bomb go
104,112,opposites attract,"[('opposite', 'NNS'), ('attract', 'VBP')]",2,0,2,opposite attract,opposite attract
105,113,one person plays multiple roles,"[('one', 'CD'), ('person', 'NN'), ('play', 'VBZ'), ('multiple', 'JJ'), ('role', 'NNS')]",5,0,5,one person play multiple role,one person play multiple role
106,115,one person makes a difference,"[('one', 'CD'), ('person', 'NN'), ('make', 'VBZ'), ('a', 'DT'), ('difference', 'NN')]",5,1,4,one person make a difference,one person make difference
107,116,one person plays twins,"[('one', 'CD'), ('person', 'NN'), ('play', 'VBZ'), ('twin', 'NNS')]",4,0,4,one person play twin,one person play twin
109,120,people have powers,"[('people', 'NNS'), ('have', 'VBP'), ('power', 'NNS')]",3,1,2,people have power,people power
110,121,popular guy falls for nerd,"[('popular', 'JJ'), ('guy', 'NN'), ('fall', 'VBZ'), ('for', 'IN'), ('nerd', 'NN')]",5,1,4,popular guy fall for nerd,popular guy fall nerd
111,122,people are trapped,"[('people', 'NNS'), ('be', 'VBP'), ('trap', 'VBN')]",3,1,2,people be trap,people trap
112,123,people switch bodies,"[('people', 'NNS'), ('switch', 'VBP'), ('body', 'NNS')]",3,0,3,people switch body,people switch body
113,124,popular girl falls for nerd,"[('popular', 'JJ'), ('girl', 'NN'), ('fall', 'VBZ'), ('for', 'IN'), ('nerd', 'NN')]",5,1,4,popular girl fall for nerd,popular girl fall nerd
114,125,parents die,"[('parent', 'NNS'), ('die', 'VBP')]",2,0,2,parent die,parent die
115,126,people turn into animals,"[('people', 'NNS'), ('turn', 'VBP'), ('into', 'IN'), ('animal', 'NNS')]",4,1,3,people turn into animal,people turn animal
116,127,people are hunted,"[('people', 'NNS'), ('be', 'VBP'), ('hunt', 'VBN')]",3,1,2,people be hunt,people hunt
117,136,robots take over,"[('robot', 'NNS'), ('take', 'VBP'), ('over', 'RB')]",3,1,2,robot take over,robot take
118,137,rich guy falls in love,"[('rich', 'JJ'), ('guy', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",5,1,4,rich guy fall in love,rich guy fall love
119,138,robots take over the world,"[('robot', 'NNS'), ('take', 'VBP'), ('over', 'IN'), ('the', 'DT'), ('world', 'NN')]",5,2,3,robot take over the world,robot take world
121,140,robots go bad,"[('robot', 'NNS'), ('go', 'VBP'), ('bad', 'JJ')]",3,0,3,robot go bad,robot go bad
122,141,robots become self aware,"[('robot', 'NNS'), ('become', 'VBP'), ('self', 'NN'), ('aware', 'JJ')]",4,0,4,robot become self aware,robot become self aware
124,146,someone dies,"[('someone', 'NN'), ('die', 'VBZ')]",2,0,2,someone die,someone die
125,147,someone is poisoned,"[('someone', 'NN'), ('be', 'VBZ'), ('poison', 'VBN')]",3,1,2,someone be poison,someone poison
126,148,sound is important,"[('sound', 'NN'), ('be', 'VBZ'), ('important', 'JJ')]",3,1,2,sound be important,sound important
127,149,strangers are trapped together,"[('stranger', 'NNS'), ('be', 'VBP'), ('trap', 'VBN'), ('together', 'RB')]",4,1,3,stranger be trap together,stranger trap together
128,150,son kills father,"[('son', 'NN'), ('kill', 'VBZ'), ('father', 'NN')]",3,0,3,son kill father,son kill father
129,152,the bad guy wins,"[('the', 'DT'), ('bad', 'JJ'), ('guy', 'NN'), ('win', 'VBZ')]",4,1,3,the bad guy win,bad guy win
130,153,the day repeats itself,"[('the', 'DT'), ('day', 'NN'), ('repeat', 'VBZ'), ('itself', 'PRP')]",4,2,2,the day repeat itself,day repeat
131,154,the main character dies,"[('the', 'DT'), ('main', 'JJ'), ('character', 'NN'), ('die', 'VBZ')]",4,1,3,the main character die,main character die
132,157,the villain wins,"[('the', 'DT'), ('villain', 'NN'), ('win', 'VBZ')]",3,1,2,the villain win,villain win
133,158,the world ends,"[('the', 'DT'), ('world', 'NN'), ('end', 'VBZ')]",3,1,2,the world end,world end
134,160,underdogs win,"[('underdog', 'NNS'), ('win', 'VBP')]",2,0,2,underdog win,underdog win
135,161,unpopular girl gets the guy,"[('unpopular', 'JJ'), ('girl', 'NN'), ('get', 'VBZ'), ('the', 'DT'), ('guy', 'NN')]",5,1,4,unpopular girl get the guy,unpopular girl get guy
136,162,underdog gets the girl,"[('underdog', 'NN'), ('get', 'VBZ'), ('the', 'DT'), ('girl', 'NN')]",4,1,3,underdog get the girl,underdog get girl
137,163,unpopular girl becomes popular,"[('unpopular', 'JJ'), ('girl', 'NN'), ('become', 'VBZ'), ('popular', 'JJ')]",4,0,4,unpopular girl become popular,unpopular girl become popular
138,164,u can lay down,"[('u', 'PRP'), ('can', 'MD'), ('lay', 'VB'), ('down', 'RP')]",4,2,2,u can lay down,u lay
140,168,villain wins,"[('villain', 'NN'), ('win', 'NNS')]",2,0,2,villain win,villain win
141,169,villain falls in love,"[('villain', 'NN'), ('fall', 'VBZ'), ('in', 'IN'), ('love', 'NN')]",4,1,3,villain fall in love,villain fall love
142,170,video games come to life,"[('video', 'NN'), ('game', 'NNS'), ('come', 'VBP'), ('to', 'IN'), ('life', 'NN')]",5,1,4,video game come to life,video game come life
